Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking
22,PROF. CLEMENTE RIVERA MOCTEZUMA - 28DPR2461Z,59.83,72.0,70.0,37.5,37.5,37.5,A2 -,A1 +,A1,A1,A1,18,28,3,3,3
23,FELIPE CARRILLO PUERTO - 28DPR1403C,59.83,72.0,70.0,37.5,37.5,37.5,A2 -,A1 +,A1,A1,A1,18,28,3,3,3
24,GRAL. LAZARO CARDENAS DEL RIO - 28DPR1807V,59.67,64.0,77.5,50.0,25.0,37.5,A1 +,A2 -,A1,A1,A1,16,31,4,2,3
25,ENRIQUE C. REBSAMEN - 28DPR1139U,59.67,84.0,82.5,12.5,12.5,12.5,A2,A2 -,A1,A1,A1,21,33,1,1,1
26,ARTEMIO VILLAFAÑA PADILLA - 28DPR2182P,57.58,64.0,65.0,50.0,37.5,43.75,A1 +,A1 +,A1,A1,A1,16,26,4,3,3
27,FORD NUM. 16 - 28DPR0754Z,57.5,60.0,62.5,50.0,50.0,50.0,A1 +,A1 +,A1,A1,A1,15,25,4,4,4
28,RAUL FLORES GARCIA - 28DPR2381O,57.17,64.0,70.0,37.5,37.5,37.5,A1 +,A1 +,A1,A1,A1,16,28,3,3,3
29,IGNACIO LOPEZ RAYON - 28DPR2164Z,57.0,76.0,82.5,12.5,12.5,12.5,A2 -,A2 -,A1,A1,A1,19,33,1,1,1
30,ALVARO OBREGON - 28DPR2021C,56.92,72.0,67.5,37.5,25.0,31.25,A2 -,A1 +,A1,A1,A1,18,27,3,2,2
31,PROF. COSME PEREZ NUM. 2 - 28DPR0787R,56.67,80.0,90.0,0.0,0.0,0.0,A2,A2,Pre - A1,Pre - A1,Pre - A1,20,36,0,0,0
32,JOSEFINA MENCHACA - 28DPR0489S,55.75,56.00000000000001,67.5,37.5,50.0,43.75,A1 +,A1 +,A1,A1,A1,14,27,3,4,4
33,HIMNO NACIONAL - 28DPR1130C,55.5,64.0,65.0,37.5,37.5,37.5,A1 +,A1 +,A1,A1,A1,16,26,3,3,3
34,FRANCISCO I. MADERO - 28DPR1094O,55.5,64.0,65.0,37.5,37.5,37.5,A1 +,A1 +,A1,A1,A1,16,26,3,3,3
35,NUEVO SANTANDER - 28DPR2377B,55.33,56.00000000000001,60.0,50.0,50.0,50.0,A1 +,A1,A1,A1,A1,14,24,4,4,4
36,DISTRIBUIDORES NISSAN NUM. 37 - 28DPR2463Y,54.42,52.0,67.5,37.5,50.0,43.75,A1,A1 +,A1,A1,A1,13,27,3,4,4
37,PROFA. JUANA MARIA CABRERA SALINAS - 28DPR2334D,54.17,60.0,65.0,37.5,37.5,37.5,A1 +,A1 +,A1,A1,A1,15,26,3,3,3
38,GRAL. CESAR LOPEZ DE LARA - 28DPR1817B,53.92,68.0,62.5,37.5,25.0,31.25,A2 -,A1 +,A1,A1,A1,17,25,3,2,2
39,MIGUEL HIDALGO - 28DPR1748W,53.08,68.0,72.5,25.0,12.5,18.75,A2 -,A1 +,A1,A1,A1,17,29,2,1,1
40,JOSE VASCONCELOS - 28DPR2098R,53.0,64.0,70.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,16,28,2,2,2
41,JUSTO SIERRA - 28DPR1454J,52.33,72.0,72.5,12.5,12.5,12.5,A2 -,A1 +,A1,A1,A1,18,29,1,1,1
42,GRAL. FELIPE DE LA GARZA - 28DPR1663P,52.0,76.0,67.5,12.5,12.5,12.5,A2 -,A1 +,A1,A1,A1,19,27,1,1,1
43,MIGUEL HIDALGO - 28DPR1340H,51.92,72.0,77.5,12.5,0.0,6.25,A2 -,A2 -,A1,Pre - A1,A1,18,31,1,0,1
44,MOCTEZUMA - 28DPR2452S,51.67,80.0,75.0,0.0,0.0,0.0,A2,A1 +,Pre - A1,Pre - A1,Pre - A1,20,30,0,0,0
45,ARQUIMEDES CABALLERO CABALLERO - 28DPR2481N,51.67,60.0,70.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,15,28,2,2,2
46,EL CHAMIZAL - 28DPR1427M,51.33,64.0,65.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,16,26,2,2,2
47,ANTONIO ALVAREZ BERRONES - 28DPR1121V,51.33,64.0,65.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,16,26,2,2,2
48,CLUB ROTARIO - 28DPR1143G,50.92,64.0,70.0,25.0,12.5,18.75,A1 +,A1 +,A1,A1,A1,16,28,2,1,2
49,SIMON BOLIVAR - 28DPR0039O,50.92,64.0,57.5,25.0,37.5,31.25,A1 +,A1,A1,A1,A1,16,23,2,3,2
50,VENUSTIANO CARRANZA - 28DPR1686Z,50.92,64.0,57.5,25.0,37.5,31.25,A1 +,A1,A1,A1,A1,16,23,2,3,3
51,TAMAULIPAS - 28DPR0636L,50.67,72.0,67.5,12.5,12.5,12.5,A2 -,A1 +,A1,A1,A1,18,27,1,1,1
52,LA CORREGIDORA - 28DPR1173A,50.0,60.0,65.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,15,26,2,2,2
53,PROF. IGNACIO AGUILAR HERNANDEZ - 28DPR2391V,49.67,64.0,72.5,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,16,29,1,1,1
54,GRAL. EMILIANO ZAPATA - 28DPR1433X,49.67,64.0,60.0,25.0,25.0,25.0,A1 +,A1,A1,A1,A1,16,24,2,2,2
55,LAZARO CARDENAS - 28DPR1533W,48.75,60.0,67.5,25.0,12.5,18.75,A1 +,A1 +,A1,A1,A1,15,27,2,1,2
56,LAZARO CARDENAS DEL RIO - 28DPR2143N,48.67,56.00000000000001,52.5,37.5,37.5,37.5,A1 +,A1,A1,A1,A1,14,21,3,3,3
57,ALBERTO CARRERA TORRES - 28DPR2064A,48.67,56.00000000000001,52.5,37.5,37.5,37.5,A1 +,A1,A1,A1,A1,14,21,3,3,3
58,FRANKLIN D. ROOSEVELT - 28DPR0456A,48.33,60.0,60.0,25.0,25.0,25.0,A1 +,A1,A1,A1,A1,15,24,2,2,2
59,LIC. LUIS DONALDO COLOSIO MURRIETA - 28DPR2239Z,47.58,64.0,60.0,12.5,25.0,18.75,A1 +,A1,A1,A1,A1,16,24,1,2,2
60,20 DE NOVIEMBRE - 28DPR2562Y,47.42,56.00000000000001,67.5,12.5,25.0,18.75,A1 +,A1 +,A1,A1,A1,14,27,1,2,2
61,PROF. JOSE MARTINEZ Y MARTINEZ - 28DPR0074U,47.17,64.0,65.0,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,16,26,1,1,1
62,NIÑOS HEROES - 28DPR1344D,46.83,68.0,60.0,12.5,12.5,12.5,A2 -,A1,A1,A1,A1,17,24,1,1,1
63,NOGAL NUM. 1 - 28DPR1377V,46.33,64.0,62.5,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,16,25,1,1,1
64,EMILIANO ZAPATA - 28DPR1698E,45.33,56.00000000000001,67.5,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,14,27,1,1,1
65,JUAN B. TIJERINA - 28DPR1125R,45.17,48.0,62.5,25.0,25.0,25.0,A1,A1 +,A1,A1,A1,12,25,2,2,2
66,PROF. CRUZ LINO MARQUEZ - 28DPR2300N,45.0,60.0,75.0,0.0,0.0,0.0,A1 +,A1 +,Pre - A1,Pre - A1,Pre - A1,15,30,0,0,0
67,FELIPE DURON ROBLES - 28DPR2298P,44.92,56.00000000000001,60.0,25.0,12.5,18.75,A1 +,A1,A1,A1,A1,14,24,2,1,2
68,DR. NORBERTO TREVIÑO ZAPATA - 28DPR1045F,44.92,56.00000000000001,72.5,12.5,0.0,6.25,A1 +,A1 +,A1,Pre - A1,A1,14,29,1,0,1
69,NIÑOS HEROES - 28DPR1492M,44.17,60.0,72.5,0.0,0.0,0.0,A1 +,A1 +,Pre - A1,Pre - A1,Pre - A1,15,29,0,0,0
70,ELVIRA SALDAÑA MORALES - 28DPR2274F,43.33,60.0,70.0,0.0,0.0,0.0,A1 +,A1 +,Pre - A1,Pre - A1,Pre - A1,15,28,0,0,0
71,PROF. Y LIC. SANTOS VALLE CARDONA - 28DPR2390W,43.25,56.00000000000001,55.0,12.5,25.0,18.75,A1 +,A1,A1,A1,A1,14,22,1,2,1
72,LIC. EMILIO PORTES GIL - 28DPR1593K,41.17,56.00000000000001,55.0,12.5,12.5,12.5,A1 +,A1,A1,A1,A1,14,22,1,1,1
73,RAMON LOPEZ VELARDE - 28DPR2160D,41.0,48.0,62.5,12.5,12.5,12.5,A1,A1 +,A1,A1,A1,12,25,1,1,1
74,PROF. ERNESTO GUAJARDO SALINAS - 28DPR2271I,40.67,52.0,57.5,12.5,12.5,12.5,A1,A1,A1,A1,A1,13,23,1,1,1
75,MARGARITA MAZA DE JUAREZ - 28DPR1505Z,40.58,48.0,55.0,12.5,25.0,18.75,A1,A1,A1,A1,A1,12,22,1,2,1
76,PROFA. JULIA GARCIA ECHAVARRIA - 28DPR2337A,39.75,48.0,52.5,12.5,25.0,18.75,A1,A1,A1,A1,A1,12,21,1,2,1
77,MAGDALENO AGUILAR - 28DPR0979G,38.67,56.00000000000001,60.0,0.0,0.0,0.0,A1 +,A1,Pre - A1,Pre - A1,Pre - A1,14,24,0,0,0
78,IGNACIO JOSE ALLENDE - 28DPR2149H,38.67,56.00000000000001,60.0,0.0,0.0,0.0,A1 +,A1,Pre - A1,Pre - A1,Pre - A1,14,24,0,0,0
79,JULIAN ERNESTO ZAMORA RIVAS - 28DPR2504H,37.67,48.0,65.0,0.0,0.0,0.0,A1,A1 +,Pre - A1,Pre - A1,Pre - A1,12,26,0,0,0
80,PROF. EUTIMIO MARTINEZ LARA - 28DPR0513B,37.33,52.0,60.0,0.0,0.0,0.0,A1,A1,Pre - A1,Pre - A1,Pre - A1,13,24,0,0,0
81,ARTICULO 27 CONSTITUCIONAL - 28DPR0806P,34.33,48.0,55.0,0.0,0.0,0.0,A1,A1,Pre - A1,Pre - A1,Pre - A1,12,22,0,0,0
82,EUTIMIO RODRIGUEZ CABALLERO - 28DPR2474D,33.33,40.0,60.0,0.0,0.0,0.0,A1,A1,Pre - A1,Pre - A1,Pre - A1,10,24,0,0,0
83,FELIPE ANGELES - 28DPR2081R,25.33,36.0,40.0,0.0,0.0,0.0,A1 -,A1 -,Pre - A1,Pre - A1,Pre - A1,9,16,0,0,0
84,PEDRO JOSE MENDEZ - 28DPR2174G,9.17,0.0,27.5,0.0,0.0,0.0,Pre - A1,A1 -,Pre - A1,Pre - A1,Pre - A1,0,11,0,0,0
